filename,source_url,description,downloaded_at_utc,sha256
svi_2022_wisconsin.csv,https://svi.cdc.gov/Documents/Data/2022/csv/states/Wisconsin.csv,"CDC/ATSDR SVI 2022, Wisconsin, census tract",2026-09-08T02:47:17.595534+00:00,686f5e5e0dfe5244e214ab62041007c05ac2d243cbf0f37b4c7f9df479ff737a
tl_2022_55_tract.zip,https://www2.census.gov/geo/tiger/TIGER2022/TRACT/tl_2022_55_tract.zip,Census TIGER/Line 2022 Wisconsin census tract geometries,2026-09-08T02:47:19.121475+00:00,984f50e43a9d37f4ef521c5e6ab974dc9b460f37e8cd76f6a8e8a21f4ea8945d
ejscreen_2024_tract_statepct_national.csv,https://dataverse.harvard.edu/api/access/datafile/10775973,"EJScreen 2.3 tract-level indicators (national), Harvard Dataverse mirror of EPA data removed from epa.gov in Feb 2025",2026-09-08T02:47:35.187843+00:00,b5704181f193497e863e2d30b86a2163466eb26ed4bc24331bf81c9f1b28f08e
wi_dnr_air_monitors_snapshot.geojson,https://dnrmaps.wi.gov/arcgis/rest/services/AM_WARP_MAP/AM_MONITORS_WTM_Int/MapServer/0/query,"WI DNR Air Management Data Viewer, 'All Monitors' layer snapshot",2026-09-08T02:47:41.160092+00:00,d061e503be69bac7ac094c65d907b0a184460e586262ef79124a583321f4ab70
st55_wi_cou2020.txt,https://www2.census.gov/geo/docs/reference/codes2020/cou/st55_wi_cou2020.txt,"Census Bureau 2020 county FIPS-to-name reference, Wisconsin",2026-09-08T02:48:44.022612+00:00,d8af4a393cd8091f077cea0d701811021b413817111b3c5a1630d07e4cecb8e0
aqs_daily_42602_2022.zip,https://aqs.epa.gov/aqsweb/airdata/daily_42602_2022.zip,"EPA AQS daily NO2 concentrations, all states, 2022",2026-09-08T03:25:31.566768+00:00,b527bc9708474c43f885d0c6155d4fbf8349e42d4228bcc9bf32a9084e627862
aqs_daily_42401_2022.zip,https://aqs.epa.gov/aqsweb/airdata/daily_42401_2022.zip,"EPA AQS daily SO2 concentrations, all states, 2022",2026-09-08T03:25:59.064515+00:00,7d3c9689d0905673038ad76458261a503715e758142b4f2b4667c17ed18f6faa
aqs_daily_42101_2022.zip,https://aqs.epa.gov/aqsweb/airdata/daily_42101_2022.zip,"EPA AQS daily CO concentrations, all states, 2022",2026-09-08T03:26:25.515098+00:00,0a6e5c0962043e8c6447ccc6e713e3ec49135dc0f70a7cbc2956152651350f41
aqs_daily_88101_2022.zip,https://aqs.epa.gov/aqsweb/airdata/daily_88101_2022.zip,"EPA AQS daily PM2.5 concentrations, all states, 2022",2026-09-08T03:27:01.863082+00:00,82f5035943a447f8edebf1f0b3f774e08b81a250a86295871a8574726d6b2f94
osm_major_roads_madison.json,https://overpass-api.de/api/interpreter,"OpenStreetMap major roads (motorway/trunk/primary) within the madison pilot buffer, (c) OpenStreetMap contributors, ODbL",2026-09-08T21:03:38.137610+00:00,16e54e9e5e0f72aa0b7ffd9a0a7fbf177e008086739a75764216e61387fb0486
osm_major_roads_milwaukee.json,https://overpass-api.de/api/interpreter,"OpenStreetMap major roads (motorway/trunk/primary) within the milwaukee pilot buffer, (c) OpenStreetMap contributors, ODbL",2026-09-08T21:03:56.400470+00:00,4e7b8e9706c37a0a7a4aa452758ba282c870e064cac02f78782f104b56a407f5
