method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant
baseline_global_mean,-0.0008590203384564177,5.509874562715323,3.6030104085685486,2022-05-01,2022-05-01,2022-06-01,240,62,madison,pm25
baseline_persistence,0.3688970542346365,4.375275067283379,2.9698006064516123,2022-05-01,2022-05-01,2022-06-01,240,62,madison,pm25
model_random_forest,0.20426549579293762,4.9129161625070505,3.31985545032812,2022-05-01,2022-05-01,2022-06-01,240,62,madison,pm25
model_hist_gradient_boosting,0.18666176608456808,4.966962169284538,3.467631921386063,2022-05-01,2022-05-01,2022-06-01,240,62,madison,pm25
baseline_global_mean,-0.05823260986994083,3.5011145638797716,2.633109381672186,2022-06-01,2022-06-01,2022-07-01,302,60,madison,pm25
baseline_persistence,-0.16700939374576595,3.676655407697661,2.223345261666667,2022-06-01,2022-06-01,2022-07-01,302,60,madison,pm25
model_random_forest,-0.19003738041479257,3.71275296419395,2.952928705376625,2022-06-01,2022-06-01,2022-07-01,302,60,madison,pm25
model_hist_gradient_boosting,-0.6802225461772462,4.411630756863639,3.192172762026575,2022-06-01,2022-06-01,2022-07-01,302,60,madison,pm25
baseline_global_mean,-0.08961365478600514,2.3842693140653495,2.036503730351096,2022-07-01,2022-07-01,2022-08-01,362,62,madison,pm25
baseline_persistence,-0.02015932952455657,2.3070289462656834,1.878396169354839,2022-07-01,2022-07-01,2022-08-01,362,62,madison,pm25
model_random_forest,-0.24916285000418537,2.5528692418037298,1.9620050747100495,2022-07-01,2022-07-01,2022-08-01,362,62,madison,pm25
model_hist_gradient_boosting,-0.5943525938331746,2.884106060637173,2.3115937387280505,2022-07-01,2022-07-01,2022-08-01,362,62,madison,pm25
baseline_global_mean,-0.12639532807381992,2.013019356405772,1.5915404347382842,2022-08-01,2022-08-01,2022-09-01,424,62,madison,pm25
baseline_persistence,0.0677793947991393,1.8313100539535925,1.249092146774194,2022-08-01,2022-08-01,2022-09-01,424,62,madison,pm25
model_random_forest,-0.6511656247019597,2.4372374902783456,1.9605629636374522,2022-08-01,2022-08-01,2022-09-01,424,62,madison,pm25
model_hist_gradient_boosting,-0.3769349703063387,2.2256621780117363,1.869371238244393,2022-08-01,2022-08-01,2022-09-01,424,62,madison,pm25
baseline_global_mean,-0.1055415548052232,2.677320715802949,2.3103809249176956,2022-09-01,2022-09-01,2022-10-01,486,60,madison,pm25
baseline_persistence,-0.03491629131964635,2.590391906239886,2.1594037966666666,2022-09-01,2022-09-01,2022-10-01,486,60,madison,pm25
model_random_forest,-0.1548215833006894,2.7363415733323113,2.222139442291634,2022-09-01,2022-09-01,2022-10-01,486,60,madison,pm25
model_hist_gradient_boosting,0.38252796559839797,2.000882146780139,1.6399803279357796,2022-09-01,2022-09-01,2022-10-01,486,60,madison,pm25
baseline_global_mean,-0.10160507438291977,6.508283779934832,4.3359356873774075,2022-10-01,2022-10-01,2022-11-01,546,62,madison,pm25
baseline_persistence,0.6012447928008529,3.9156755651752273,3.1525369274193555,2022-10-01,2022-10-01,2022-11-01,546,62,madison,pm25
model_random_forest,0.4392864168383417,4.643271258312295,3.4028741368039475,2022-10-01,2022-10-01,2022-11-01,546,62,madison,pm25
model_hist_gradient_boosting,0.5375818738109228,4.216682893308943,3.168611721247495,2022-10-01,2022-10-01,2022-11-01,546,62,madison,pm25
baseline_global_mean,-0.059136180358069446,4.473983841970875,3.5279733024999995,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
baseline_persistence,-0.23857492861145757,4.8381535957956014,3.5169719125,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
model_random_forest,0.6815906964264722,2.4530781478340256,1.962674804214244,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
model_hist_gradient_boosting,0.610554886433805,2.7129490575013104,2.150060586499239,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
baseline_global_mean,-0.11410001784946266,3.634631388060133,2.9608619197556503,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
baseline_persistence,-0.14533294823590692,3.6852262786609034,2.7399999798387102,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
model_random_forest,0.18248519945020714,3.113480099464438,2.4737629528744054,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
model_hist_gradient_boosting,0.15198747146606262,3.171023178134356,2.436237189203644,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
