method,r2,rmse,mae,city,pollutant,n_train,n_test,train_start,train_end,test_start,test_end
baseline_global_mean,-0.10599152939064549,5.066112775544608,3.642342450933668,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_season_mean,-0.1589064366724786,5.185888087649672,3.6035307415922073,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_site_mean,-0.10653758848130623,5.0673632623178735,3.641568192238016,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_persistence,0.2512448438363192,4.168394996684337,3.132367407608696,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
model_random_forest,0.43032360212280774,3.635909511757218,2.7018888415981506,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
model_hist_gradient_boosting,0.5150504882020894,3.3546500031778184,2.491633229114704,madison,pm25,546,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_global_mean,-0.10447275075588824,6.205426299779936,4.707117505588217,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_season_mean,-0.1048405308750866,6.206459391118419,4.902972134167764,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_site_mean,0.20986882883493674,5.248602909759482,3.996430918522942,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
baseline_persistence,0.22664027741010195,5.192600300103771,3.9393419293478265,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
model_random_forest,0.6572190856120744,3.457024327071569,2.7466279442509545,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
model_hist_gradient_boosting,0.6932515739114662,3.2702826534087843,2.6098302776735114,milwaukee,no2,673,184,2022-01-01,2022-09-30,2022-10-01,2022-12-31
