method,r2,rmse,mae,window,city,pollutant
baseline_persistence_1day,0.2512448438363192,4.168394996684337,3.132367407608696,standard_split,madison,pm25
baseline_persistence_7day_trailing,-0.23175416397413495,5.346394144181814,4.116784460248447,standard_split,madison,pm25
baseline_persistence_1day,0.3688970542346365,4.375275067283379,2.9698006064516123,fold_test_2022-05-01,madison,pm25
baseline_persistence_7day_trailing,-0.19654052498365226,6.024471636965648,3.9450464561059904,fold_test_2022-05-01,madison,pm25
baseline_persistence_1day,-0.16700939374576595,3.676655407697661,2.223345261666667,fold_test_2022-06-01,madison,pm25
baseline_persistence_7day_trailing,-0.14664799446647647,3.644440042796099,2.4153864534523803,fold_test_2022-06-01,madison,pm25
baseline_persistence_1day,-0.02015932952455657,2.3070289462656834,1.878396169354839,fold_test_2022-07-01,madison,pm25
baseline_persistence_7day_trailing,0.02538328518796773,2.2549450776723887,1.8255554017281106,fold_test_2022-07-01,madison,pm25
baseline_persistence_1day,0.0677793947991393,1.8313100539535925,1.249092146774194,fold_test_2022-08-01,madison,pm25
baseline_persistence_7day_trailing,0.19811065115908688,1.6984773243064677,1.3443195118663593,fold_test_2022-08-01,madison,pm25
baseline_persistence_1day,-0.03491629131964635,2.590391906239886,2.1594037966666666,fold_test_2022-09-01,madison,pm25
baseline_persistence_7day_trailing,-0.08659489589062908,2.654279745437761,2.2749168345238093,fold_test_2022-09-01,madison,pm25
baseline_persistence_1day,0.6012447928008529,3.9156755651752273,3.1525369274193555,fold_test_2022-10-01,madison,pm25
baseline_persistence_7day_trailing,0.007104298641749662,6.178816996466551,4.4080401355990775,fold_test_2022-10-01,madison,pm25
baseline_persistence_1day,-0.23857492861145757,4.8381535957956014,3.5169719125,fold_test_2022-11-01,madison,pm25
baseline_persistence_7day_trailing,-0.7244523218065724,5.7087904916598875,4.629021713333332,fold_test_2022-11-01,madison,pm25
baseline_persistence_1day,-0.14533294823590692,3.6852262786609034,2.7399999798387102,fold_test_2022-12-01,madison,pm25
baseline_persistence_7day_trailing,-0.274538533295821,3.887539074190492,3.329815314170508,fold_test_2022-12-01,madison,pm25
baseline_persistence_1day,0.22664027741010195,5.192600300103771,3.9393419293478265,standard_split,milwaukee,no2
baseline_persistence_7day_trailing,0.15904928633486826,5.4147622306923875,4.168363940993788,standard_split,milwaukee,no2
baseline_persistence_1day,0.23086062572330368,3.5304059243459416,2.6058975483870968,fold_test_2022-05-01,milwaukee,no2
baseline_persistence_7day_trailing,0.4359537142091201,3.0232878088302555,2.299071387532002,fold_test_2022-05-01,milwaukee,no2
baseline_persistence_1day,0.36875280945482125,4.138459009569174,3.0152859325842694,fold_test_2022-06-01,milwaukee,no2
baseline_persistence_7day_trailing,0.6181328404080524,3.2188080906268355,2.377148507223114,fold_test_2022-06-01,milwaukee,no2
baseline_persistence_1day,0.5362437192989087,2.9295025999304727,2.1044161075268817,fold_test_2022-07-01,milwaukee,no2
baseline_persistence_7day_trailing,0.6894416184904668,2.3972902162012897,1.7787585284178187,fold_test_2022-07-01,milwaukee,no2
baseline_persistence_1day,0.6273936646665284,2.656150593091655,2.115138847826087,fold_test_2022-08-01,milwaukee,no2
baseline_persistence_7day_trailing,0.690145266136066,2.422181286596214,1.8346752732919256,fold_test_2022-08-01,milwaukee,no2
baseline_persistence_1day,0.522827263239706,3.7594303334322574,2.925938878787879,fold_test_2022-09-01,milwaukee,no2
baseline_persistence_7day_trailing,0.5227563432716928,3.7597096963889163,3.03971727056277,fold_test_2022-09-01,milwaukee,no2
baseline_persistence_1day,0.396139334752443,4.456701084910866,3.5733860161290325,fold_test_2022-10-01,milwaukee,no2
baseline_persistence_7day_trailing,0.340404022871142,4.657835376860671,3.514620230414747,fold_test_2022-10-01,milwaukee,no2
baseline_persistence_1day,0.14936661650533434,6.402220783166391,4.970317316666666,fold_test_2022-11-01,milwaukee,no2
baseline_persistence_7day_trailing,0.05294430780350923,6.755339730179864,5.403348983333332,fold_test_2022-11-01,milwaukee,no2
baseline_persistence_1day,0.09059542665982911,4.526710528916928,3.307579725806451,fold_test_2022-12-01,milwaukee,no2
baseline_persistence_7day_trailing,0.06112300308024998,4.5994775752899315,3.6269608364055297,fold_test_2022-12-01,milwaukee,no2
